# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS	MORPHEMES
2782	Rahung	oil	oil	tʰoː	tʰoː	tʰ oː		759	759	tʰ oː	i n	759	oil
2783	Rupa	oil	oil	tʰoː	tʰoː	tʰ oː		759	759	tʰ oː	i n	759	oil
2784	Shergaon	oil	oil	tʰoː	tʰoː	tʰ oː		759	759	tʰ oː	i n	759	oil
#
2785	Khispi	okay	okay	aj ~ e	aj	a j		760	761	a j	n c	454	?
2786	Duhumbi	okay	okay	aj	aj	a j		760	761	a j	n c	454	?
2788	Jerigaon	okay	okay	ɐː	ɐː	ɐː		760	760	ɐː -	n	454	?
2789	Khoitam	okay	okay	ɔː	ɔː	ɔː		760	760	ɔː -	n	454	?
2790	Rahung	okay	okay	ɔː	ɔː	ɔː		760	760	ɔː -	n	454	?
#
2793	Khispi	old	old	ɔ-mɛn	ɔ+mɛn	ɔ + m ɛ n		763 762	763 762	ɔ + m ɛ n	n + i n c	137 762	o/a-prefix ?
2794	Duhumbi	old	old	ɔ-mɛn	ɔ+mɛn	ɔ + m ɛ n		763 762	763 762	ɔ + m ɛ n	n + i n c	137 762	o/a-prefix ?
2795	Khoina	old	old	a-mɛn	a+mɛn	a + m ɛ n		763 762	763 762	a + m ɛ n	n + i n c	137 762	o/a-prefix ?
2796	Jerigaon	old	old	a-mɛn	a+mɛn	a + m ɛ n		763 762	763 762	a + m ɛ n	n + i n c	137 762	o/a-prefix ?
2797	Khoitam	old	old	a-man	a+man	a + m a n		763 762	763 762	a + m a n	n + i n c	137 762	o/a-prefix ?
2798	Rahung	old	old	a-mɛn ~ ɛ-mɛn	a+mɛn	a + m ɛ n		763 762	763 762	a + m ɛ n	n + i n c	137 762	o/a-prefix ?
2799	Rupa	old	old	a-man	a+man	a + m a n		763 762	763 762	a + m a n	n + i n c	137 762	o/a-prefix ?
2800	Shergaon	old	old	a-man	a+man	a + m a n		763 762	763 762	a + m a n	n + i n c	137 762	o/a-prefix ?
#
2801	Khispi	one	one	hin	hin	h i n		764	764	h i n	i n c	764	?
2802	Duhumbi	one	one	hin	hin	h i n		764	764	h i n	i n c	764	?
2803	Khoina	one	one	hɛn	hɛn	h ɛ n		764	764	h ɛ n	i n c	764	?
2804	Jerigaon	one	one	hɛn	hɛn	h ɛ n		764	764	h ɛ n	i n c	764	?
2805	Khoitam	one	one	han	han	h a n		764	764	h a n	i n c	764	?
2806	Rahung	one	one	hɛn	hɛn	h ɛ n		764	764	h ɛ n	i n c	764	?
2807	Rupa	one	one	han	han	h a n		764	764	h a n	i n c	764	?
2808	Shergaon	one	one	han	han	h a n		764	764	h a n	i n c	764	?
#
2809	Khispi	other	other	bi	bi	b i		765	766	b i	i n	765	ji-suffix2
2810	Duhumbi	other	other	bi	bi	b i		765	766	b i	i n	765	ji-suffix2
2811	Khoina	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i	i n	765	ji-suffix2
2812	Jerigaon	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i	i n	765	ji-suffix2
2813	Khoitam	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i	i n	765	ji-suffix2
2814	Rahung	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i	i n	765	ji-suffix2
2815	Rupa	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i	i n	765	ji-suffix2
2816	Shergaon	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i	i n	765	ji-suffix2
2819	Khoina	other	other	a-ga	a+ga	a + g a		767 293	767 765	a + g a	n + i n	767 293	other other
2820	Jerigaon	other	other	a-ʥiː ~ a-ga	a+ʥiː	a + dʑ iː		767 765	767 765	a + dʑ iː	n + i n	767 765	other ji-suffix2
2821	Khoitam	other	other	a-byː ~ a-biː	a+byː	a + b yː		767 766	767 766	a + b yː	n + i n	767 766	other other
2822	Rahung	other	other	a-byː	a+byː	a + b yː		767 766	767 766	a + b yː	n + i n	767 766	other other
2823	Rupa	other	other	ə-bɛː	ə+bɛː	ə + b ɛː		767 766	767 766	ə + b ɛː	n + i n	767 766	other other
#
2827	Khoina	otter	otter	nə-mɐk	nə+mɐk	n ə + m ɐ k		768 769	768 769	n ə + m ɐ k	i n + i n c	768 769	otter otter
2828	Jerigaon	otter	otter	ny-mɐk ~ nə-mak	ny+mɐk	n y + m ɐ k		768 769	768 769	n y + m ɐ k	i n + i n c	768 769	otter otter
2829	Khoitam	otter	otter	ny-mak	ny+mak	n y + m a k		768 769	768 769	n y + m a k	i n + i n c	768 769	otter otter
2830	Rahung	otter	otter	ny-mak ~ ni-mak	ny+mak	n y + m a k		768 769	768 769	n y + m a k	i n + i n c	768 769	otter otter
2831	Rupa	otter	otter	ɲə-mak ~ ɲy-mak	ɲə+mak	ɲ ə + m a k		768 769	768 769	ɲ ə + m a k	i n + i n c	768 769	otter otter
2832	Shergaon	otter	otter	ɲu-mak	ɲu+mak	ɲ u + m a k		768 769	768 769	ɲ u + m a k	i n + i n c	768 769	otter otter
#
2835	Khoina	outside	outside	a-fũː-rɔ	a+fũː+rɔ	a + f ũː + r ɔ		770 771 772	770 773 772	a + f ũː + r ɔ	n + i n + i n	770 771 772	outside outside outside
2836	Jerigaon	outside	outside	a-hɔ̃ː(ŋ)	a+hɔ̃ː	a + h ɔ̃ː		770 771	770 771	a + h ɔ̃ː	n + i n	770 771	outside outside
2837	Khoitam	outside	outside	a-hũː(ŋ)	a+hũː	a + h ũː		770 771	770 771	a + h ũː	n + i n	770 771	outside outside
2838	Rahung	outside	outside	u-hũː(ŋ)	u+hũː	u + h ũː		770 771	770 771	u + h ũː	n + i n	770 771	outside outside
2839	Rupa	outside	outside	a-hũː(ŋ)-gɔ	a+hũː+gɔ	a + h ũː + g ɔ		770 771 294	770 771 772	a + h ũː + g ɔ	n + i n + i n	770 771 294	outside outside outside
2840	Shergaon	outside	outside	ɔ-hɔ̃ː	ɔ+hɔ̃ː	ɔ + h ɔ̃ː		770 771	770 771	ɔ + h ɔ̃ː	n + i n	770 771	outside outside
#
2841	Khispi	palm, sole	palm, sole1	pʰa-la	pʰa+la	pʰ a + l a		775 777	775 777	pʰ a - + l a	i n + i n	775 777	palmsole palmsole
2842	Duhumbi	palm, sole	palm, sole1	pʰa-ɹa	pʰa+ɹa	pʰ a + ɹ a		775 777	775 777	pʰ a - + ɹ a	i n + i n	775 777	palmsole palmsole
2845	Khoitam	palm, sole	palm, sole1	ik-paɹ	ik+paɹ	i k + p a ɹ		774 775	774 775	i k + p a ɹ	n c + i n c	368 775	hand2 palmsole
2846	Rahung	palm, sole	palm, sole1	ik-paɹ	ik+paɹ	i k + p a ɹ		774 775	774 775	i k + p a ɹ	n c + i n c	368 775	hand2 palmsole
2847	Rupa	palm, sole	palm, sole1	la ʦa-paɹ	la_ʦa+paɹ	l a _ ts a + p a ɹ		777 295 775	777 776 775	l a + ts a + p a ɹ	i n + i n + i n c	777 295 775	palmsole palmsole palmsole
2848	Shergaon	palm, sole	palm, sole1	ik-paɹ	ik+paɹ	i k + p a ɹ		774 775	774 775	i k + p a ɹ	n c + i n c	368 775	hand2 palmsole
2851	Khoina	palm, sole	palm, sole2	ik-tʰɔ̃ː	ik+tʰɔ̃ː	i k + tʰ ɔ̃ː		774 776	774 776	i k + tʰ ɔ̃ː	n c + i n	368 776	hand2 palmsole
2852	Jerigaon	palm, sole	palm, sole2	ik-tʰɔ̃ː(ŋ)	ik+tʰɔ̃ː	i k + tʰ ɔ̃ː		774 776	774 776	i k + tʰ ɔ̃ː	n c + i n	368 776	hand2 palmsole
2855	Rupa	palm, sole	palm, sole2	ik-tʰũː(ŋ)	ik+tʰũː	i k + tʰ ũː		774 776	774 776	i k + tʰ ũː	n c + i n	368 776	hand2 palmsole
#
2859	Khoina	pangolin	pangolin	ry-wøː	ry+wøː	r y + w øː		780 778	780 778	r y + w øː	i n + i n	780 778	pangolin pangolin
2861	Khoitam	pangolin	pangolin	sy-wɛːʰ	sy+wɛːʰ	s y + w ɛːʰ		779 778	779 778	s y + w ɛːʰ	i n + i n	779 778	pangolin pangolin
2862	Rahung	pangolin	pangolin	su-wɛːʰ	su+wɛːʰ	s u + w ɛːʰ		779 778	779 778	s u + w ɛːʰ	i n + i n	779 778	pangolin pangolin
#
2866	Duhumbi	partridge	partridge	kam-kɔw	kam+kɔw	k a m + k ɔ w		782 781	782 781	k a m + k ɔ w	i n c + i n c	782 781	partridge partridge
2868	Jerigaon	partridge	partridge	hu-kʰøː	hu+kʰøː	h u + kʰ øː		786 781	786 781	h u + kʰ øː -	i n + i n	786 781	partridge partridge
2869	Khoitam	partridge	partridge	f-kʰøː	f+kʰøː	f + kʰ øː		786 781	785 781	f - + kʰ øː -	i + i n	786 781	partridge partridge
2870	Rahung	partridge	partridge	mɔ-kʰøː	mɔ+kʰøː	m ɔ + kʰ øː		784 781	784 781	m ɔ + kʰ øː -	i n + i n	784 781	partridge partridge
2872	Shergaon	partridge	partridge	kʰɔj-kʰɔj-ma	kʰɔj+kʰɔj+ma	kʰ ɔ j + kʰ ɔ j + m a		299 781 783	782 781 783	kʰ ɔ j + kʰ ɔ j + m a	i n c + i n c + i n	299 781 783	partridge partridge partridge
#
2873	Khispi	path, road	path, road	hu-ma	hu+ma	h u + m a		788 787	788 787	h u - + m a	i n + i n	788 787	pathroad pathroad
2874	Duhumbi	path, road	path, road	hu-ma	hu+ma	h u + m a		788 787	788 787	h u - + m a	i n + i n	788 787	pathroad pathroad
2875	Khoina	path, road	path, road	ham	ham	h a m		788	788	h a m	i n c	788	pathroad
2876	Jerigaon	path, road	path, road	ha-mu ~ lə-mu	ha+mu	h a + m u		788 787	788 787	h a - + m u	i n + i n	788 787	pathroad pathroad
2877	Khoitam	path, road	path, road	lym	lym	l y m		788	789	l y m	i n c	788	pathroad
2878	Rahung	path, road	path, road	lum ~ lym	lum	l u m		788	789	l u m	i n c	788	pathroad
2879	Rupa	path, road	path, road	nə-mu ~ lə-mu	nə+mu	n ə + m u		788 787	790 787	n ə - + m u	i n + i n	788 787	pathroad pathroad
2880	Shergaon	path, road	path, road	lə-mu	lə+mu	l ə + m u		788 787	789 787	l ə - + m u	i n + i n	788 787	pathroad pathroad
#
2881	Khispi	patient marker	patient marker	-ɲi	+ɲi	ɲ i		791	791	ɲ i	i n	791	patientmarker
2882	Duhumbi	patient marker	patient marker	-ɲi	+ɲi	ɲ i		791	791	ɲ i	i n	791	patientmarker
2883	Khoina	patient marker	patient marker	-ɲiː	+ɲiː	ɲ iː		791	791	ɲ iː	i n	791	patientmarker
2885	Khoitam	patient marker	patient marker	-niː	+niː	n iː		791	791	n iː	i n	791	patientmarker
2886	Rahung	patient marker	patient marker	-niː	+niː	n iː		791	791	n iː	i n	791	patientmarker
2887	Rupa	patient marker	patient marker	-jiː ~ -iː	+jiː	j iː		791	792	j iː	i n	791	patientmarker
#
2889	Khispi	peas	peas	(ʥam) pʰo-bin	pʰo+bin	pʰ o + b i n		793 301	793 794	pʰ o - + b i n	i n + i n c	112 301	peas peas
2890	Duhumbi	peas	peas	(ʥam) pʰop-liŋ	pʰop+liŋ	pʰ o p + l i ŋ		793 301	793 794	pʰ o p + l i ŋ	i n c + i n c	112 301	peas peas
2891	Khoina	peas	peas	(pʰuk) pʰɔŋ-ba	pʰɔŋ+ba	pʰ ɔ ŋ + b a		793 794	793 794	pʰ ɔ ŋ + b - a	i n c + i n	112 794	peas peas
2892	Jerigaon	peas	peas	(pʰuk) pʰɔŋ-ba	pʰɔŋ+ba	pʰ ɔ ŋ + b a		793 794	793 794	pʰ ɔ ŋ + b - a	i n c + i n	112 794	peas peas
2893	Khoitam	peas	peas	(pʰuk) pʰɔm-bɛ	pʰɔm+bɛ	pʰ ɔ m + b ɛ		793 794	793 794	pʰ ɔ m + b - ɛ	i n c + i n	112 794	peas peas
2894	Rahung	peas	peas	(pʰuk) pʰam-bɛ	pʰam+bɛ	pʰ a m + b ɛ		793 794	793 794	pʰ a m + b - ɛ	i n c + i n	112 794	peas peas
2895	Rupa	peas	peas	(pʰuk) pʰam-pʰla	pʰam+pʰla	pʰ a m + pʰ l a		793 794	793 794	pʰ a m + pʰ l a	i n c + i m n	112 794	peas peas
2896	Shergaon	peas	peas	(suk) pʰam-pʰla	pʰam+pʰla	pʰ a m + pʰ l a		793 794	793 794	pʰ a m + pʰ l a	i n c + i m n	112 794	peas peas
#
2897	Khispi	penis	penis	lak	lak	l a k		795	795	l a k	i n c	615	?
2898	Duhumbi	penis	penis	lak	lak	l a k		795	795	l a k	i n c	615	?
2899	Khoina	penis	penis	lɐk	lɐk	l ɐ k		795	795	l ɐ k	i n c	615	?
2900	Jerigaon	penis	penis	lɐk	lɐk	l ɐ k		795	795	l ɐ k	i n c	615	?
2901	Khoitam	penis	penis	lak	lak	l a k		795	795	l a k	i n c	615	?
2902	Rahung	penis	penis	lak	lak	l a k		795	795	l a k	i n c	615	?
2903	Rupa	penis	penis	lak	lak	l a k		795	795	l a k	i n c	615	?
2904	Shergaon	penis	penis	lak	lak	l a k		795	795	l a k	i n c	615	?
#
2907	Khoina	pheasant, kalij	pheasant, kalij	fə-tʂʰajk	fə+tʂʰajk	f ə + ʈʂʰ a j k		797 796	797 796	f ə + ʈʂʰ a j k	i n + i n N c	617 796	? pheasantkalij
2908	Jerigaon	pheasant, kalij	pheasant, kalij	hu-ʨʰɛk	hu+ʨʰɛk	h u + tɕʰ ɛ k		797 796	798 796	h u + tɕʰ ɛ - k	i n + i n c	617 796	? pheasantkalij
2909	Khoitam	pheasant, kalij	pheasant, kalij	f-ʨʰɛk	f+ʨʰɛk	f + tɕʰ ɛ k		797 796	797 796	f - + tɕʰ ɛ - k	i + i n c	617 796	? pheasantkalij
2910	Rahung	pheasant, kalij	pheasant, kalij	pʰə-ʨʰɛk	pʰə+ʨʰɛk	pʰ ə + tɕʰ ɛ k		797 796	797 796	pʰ ə + tɕʰ ɛ - k	i n + i n c	617 796	? pheasantkalij
2911	Rupa	pheasant, kalij	pheasant, kalij	bə-kʰɛk	bə+kʰɛk	b ə + kʰ ɛ k		797 796	797 796	b ə + kʰ ɛ - k	i n + i n c	617 796	? pheasantkalij
2912	Shergaon	pheasant, kalij	pheasant, kalij	bə-kʰɛk	bə+kʰɛk	b ə + kʰ ɛ k		797 796	797 796	b ə + kʰ ɛ - k	i n + i n c	617 796	? pheasantkalij
#
2914	Duhumbi	pheasant, tragopan	pheasant, tragopan	bap	bap	b a p		801	801	b a p	i n c	801	pheasanttragopan
2916	Jerigaon	pheasant, tragopan	pheasant, tragopan	hu-ba	hu+ba	h u + b a		800 801	800 799	h u + b a -	i n + i n	800 801	pheasanttragopan pheasanttragopan
2917	Khoitam	pheasant, tragopan	pheasant, tragopan	hu-bɔ	hu+bɔ	h u + b ɔ		800 801	800 799	h u + b ɔ -	i n + i n	800 801	pheasanttragopan pheasanttragopan
2919	Rupa	pheasant, tragopan	pheasant, tragopan	hu-bɔ	hu+bɔ	h u + b ɔ		800 801	800 799	h u + b ɔ -	i n + i n	800 801	pheasanttragopan pheasanttragopan
2920	Shergaon	pheasant, tragopan	pheasant, tragopan	bap	bap	b a p		801	801	b a p	i n c	801	pheasanttragopan
#
2921	Khispi	pig	pig	ɕa-bak	ɕa+bak	ɕ a + b a k		803 802	803 802	ɕ a + b a k	i n + i n c	803 802	pig pig
2922	Duhumbi	pig	pig	ɕa-bak	ɕa+bak	ɕ a + b a k		803 802	803 802	ɕ a + b a k	i n + i n c	803 802	pig pig
2923	Khoina	pig	pig	ʂu-wɐk	ʂu+wɐk	ʂ u + w ɐ k		803 802	803 802	ʂ u + w ɐ k	i n + i n c	803 802	pig pig
2924	Jerigaon	pig	pig	s-wɐk ~ sə-wɐk	s+wɐk	s + w ɐ k		803 802	803 802	s - + w ɐ k	i + i n c	803 802	pig pig
2925	Khoitam	pig	pig	su-wak	su+wak	s u + w a k		803 802	803 802	s u + w a k	i n + i n c	803 802	pig pig
2926	Rahung	pig	pig	su-wak	su+wak	s u + w a k		803 802	803 802	s u + w a k	i n + i n c	803 802	pig pig
2927	Rupa	pig	pig	su-wak	su+wak	s u + w a k		803 802	803 802	s u + w a k	i n + i n c	803 802	pig pig
2928	Shergaon	pig	pig	su-wak	su+wak	s u + w a k		803 802	803 802	s u + w a k	i n + i n c	803 802	pig pig
#
2929	Khispi	pillow	pillow	kʰum-u	kʰum+u	kʰ u m + u		804 309	806 804	kʰ u m + u	i n c + n	589 309	pillow pillow
2930	Duhumbi	pillow	pillow	kʰu-kʰum	kʰu+kʰum	kʰ u + kʰ u m		806 804	806 804	kʰ u + kʰ u m	i n + i n c	806 589	pillow pillow
2931	Khoina	pillow	pillow	ʂaŋ-kʰɔn ~ ʂaŋ-kʰøn	ʂaŋ+kʰɔn	ʂ a ŋ + kʰ ɔ n		805 804	805 804	ʂ a ŋ + kʰ ɔ n	i n c + i n c	805 589	pillow pillow
2932	Jerigaon	pillow	pillow	sa-kʰøn	sa+kʰøn	s a + kʰ ø n		805 804	805 804	s a - + kʰ ø n	i n + i n c	805 589	pillow pillow
2933	Khoitam	pillow	pillow	saŋ-kʰɔm	saŋ+kʰɔm	s a ŋ + kʰ ɔ m		805 804	805 804	s a ŋ + kʰ ɔ m	i n c + i n c	805 589	pillow pillow
2934	Rahung	pillow	pillow	saŋ-kʰɔm ~ saŋ-kʰøm	saŋ+kʰɔm	s a ŋ + kʰ ɔ m		805 804	805 804	s a ŋ + kʰ ɔ m	i n c + i n c	805 589	pillow pillow
2935	Rupa	pillow	pillow	s-kɔm	s+kɔm	s + k ɔ m		805 804	805 804	s - - + k ɔ m	i + i n c	805 589	pillow pillow
2936	Shergaon	pillow	pillow	s-kɔm	s+kɔm	s + k ɔ m		805 804	805 804	s - - + k ɔ m	i + i n c	805 589	pillow pillow
#
2937	Khispi	pinch	pinch	ʦik	ʦik	ts i k		807	807	ts i k	i n c	807	pinch
2938	Duhumbi	pinch	pinch	ʦik	ʦik	ts i k		807	807	ts i k	i n c	807	pinch
2939	Khoina	pinch	pinch	ʦik	ʦik	ts i k		807	807	ts i k	i n c	807	pinch
2941	Khoitam	pinch	pinch	ʨik	ʨik	tɕ i k		807	807	tɕ i k	i n c	807	pinch
2942	Rahung	pinch	pinch	ʨik	ʨik	tɕ i k		807	807	tɕ i k	i n c	807	pinch
2943	Rupa	pinch	pinch	ʦik	ʦik	ts i k		807	807	ts i k	i n c	807	pinch
#
2945	Khispi	pine kindle	pine kindle	bi-ʦi	bi+ʦi	b i + ts i		808 809	808 809	b i - + ts i	i n + i n	808 809	pinekindle pinekindle
2946	Duhumbi	pine kindle	pine kindle	bɛj-ʦi	bɛj+ʦi	b ɛ j + ts i		808 809	808 809	b ɛ j + ts i	i n c + i n	808 809	pinekindle pinekindle
2947	Khoina	pine kindle	pine kindle	ba-ʦi	ba+ʦi	b a + ts i		808 809	808 809	b a - + ts i	i n + i n	808 809	pinekindle pinekindle
2948	Jerigaon	pine kindle	pine kindle	ba-ʨi	ba+ʨi	b a + tɕ i		808 809	808 809	b a - + tɕ i	i n + i n	808 809	pinekindle pinekindle
2949	Khoitam	pine kindle	pine kindle	ba-ʨi	ba+ʨi	b a + tɕ i		808 809	808 809	b a - + tɕ i	i n + i n	808 809	pinekindle pinekindle
2950	Rahung	pine kindle	pine kindle	ba-ʨi	ba+ʨi	b a + tɕ i		808 809	808 809	b a - + tɕ i	i n + i n	808 809	pinekindle pinekindle
2951	Rupa	pine kindle	pine kindle	baː bə-ʦi	baː_bə+ʦi	b aː _ b ə + ts i		317 808 809	808 811 810	b aː + b ə - + ts i	i n + i n + i n	317 808 809	pinekindle pinekindle pinekindle
2952	Shergaon	pine kindle	pine kindle	bap-ʨi	bap+ʨi	b a p + tɕ i		808 809	808 809	b a p + tɕ i	i n c + i n	808 809	pinekindle pinekindle
#
2953	Khispi	plait	plait	pʰa	pʰa	pʰ a		812	812	pʰ - a	i n	812	plait
2954	Duhumbi	plait	plait	pʰa	pʰa	pʰ a		812	812	pʰ - a	i n	812	plait
2955	Khoina	plait	plait	pʰla (kam-ziŋ)	pʰla	pʰ l a		812	812	pʰ l a	i m n	812	plait
2956	Jerigaon	plait	plait	pʰɛˀ	pʰɛˀ	pʰ ɛˀ		812	812	pʰ - ɛˀ	i n	812	plait
2957	Khoitam	plait	plait	pʰuː	pʰuː	pʰ uː		812	812	pʰ - uː	i n	812	plait
2959	Rupa	plait	plait	pʰuː ~ pʰlaː	pʰuː	pʰ uː		812	812	pʰ - uː	i n	812	plait
#
2961	Khispi	plant  (vt)	plant  (vt)	haj	haj	h a j		814	814	h a j	i n c	814	plantvt
2962	Duhumbi	plant  (vt)	plant  (vt)	haj	haj	h a j		814	814	h a j	i n c	814	plantvt
2963	Khoina	plant  (vt)	plant  (vt)	hɐː	hɐː	h ɐː		814	814	h ɐː -	i n	814	plantvt
2965	Khoitam	plant  (vt)	plant  (vt)	lɔː	lɔː	l ɔː		814	813	l ɔː -	i n	814	plantvt
2966	Rahung	plant  (vt)	plant  (vt)	lɔː	lɔː	l ɔː		814	813	l ɔː -	i n	814	plantvt
2967	Rupa	plant  (vt)	plant  (vt)	lɔ	lɔ	l ɔ		814	813	l ɔ -	i n	814	plantvt
#
2969	Khispi	play	play	lej	lej	l e j		815	815	l e j	i n c	815	play
2970	Duhumbi	play	play	lɛj	lɛj	l ɛ j		815	815	l ɛ j	i n c	815	play
2971	Khoina	play	play	lɐː	lɐː	l ɐː		815	815	l ɐː -	i n	815	play
2972	Jerigaon	play	play	mɛŋ ~ jɛŋ	mɛŋ	m ɛ ŋ		816	816	m ɛ ŋ	i n c	816	play
2973	Khoitam	play	play	jɛŋ	jɛŋ	j ɛ ŋ		816	816	j ɛ ŋ	i n c	816	play
2974	Rahung	play	play	jɛŋ	jɛŋ	j ɛ ŋ		816	816	j ɛ ŋ	i n c	816	play
2975	Rupa	play	play	loː	loː	l oː		815	815	l oː -	i n	815	play
2976	Shergaon	play	play	loː	loː	l oː		815	815	l oː -	i n	815	play
#
2977	Khispi	plough (v)	plough (v)	wuj	wuj	w u j		817	817	w u j	i n c	817	ploughv
2978	Duhumbi	plough (v)	plough (v)	wɔj	wɔj	w ɔ j		817	817	w ɔ j	i n c	817	ploughv
2979	Khoina	plough (v)	plough (v)	wɐː	wɐː	w ɐː		817	817	w ɐː -	i n	817	ploughv
2981	Khoitam	plough (v)	plough (v)	wɔː	wɔː	w ɔː		817	817	w ɔː -	i n	817	ploughv
2982	Rahung	plough (v)	plough (v)	wɔː	wɔː	w ɔː		817	817	w ɔː -	i n	817	ploughv
2983	Rupa	plough (v)	plough (v)	woː	woː	w oː		817	817	w oː -	i n	817	ploughv
#
2985	Khispi	plural	plural	-tʰe	+tʰe	tʰ e		818	818	tʰ e -	i n	818	plural
2986	Duhumbi	plural	plural	-tʰeˀ	+tʰeˀ	tʰ eˀ		818	818	tʰ eˀ -	i n	818	plural
2987	Khoina	plural	plural	-tʰik	+tʰik	tʰ i k		818	818	tʰ i k	i n c	818	plural
2988	Jerigaon	plural	plural	-tʰik	+tʰik	tʰ i k		818	818	tʰ i k	i n c	818	plural
2989	Khoitam	plural	plural	-tʰɛk	+tʰɛk	tʰ ɛ k		818	818	tʰ ɛ k	i n c	818	plural
2990	Rahung	plural	plural	-tʰɛk	+tʰɛk	tʰ ɛ k		818	818	tʰ ɛ k	i n c	818	plural
2991	Rupa	plural	plural	-tʰiː	+tʰiː	tʰ iː		818	818	tʰ iː -	i n	818	plural
#
2993	Khispi	poison	poison	duk	duk	d u k		819	819	d u k	i n c	819	poison
2994	Duhumbi	poison	poison	duk ~ dup	duk	d u k		819	819	d u k	i n c	819	poison
2995	Khoina	poison	poison	dyk	dyk	d y k		819	819	d y k	i n c	819	poison
2996	Jerigaon	poison	poison	dyk	dyk	d y k		819	819	d y k	i n c	819	poison
2997	Khoitam	poison	poison	dyk	dyk	d y k		819	819	d y k	i n c	819	poison
2998	Rahung	poison	poison	dyk	dyk	d y k		819	819	d y k	i n c	819	poison
2999	Rupa	poison	poison	dyk	dyk	d y k		819	819	d y k	i n c	819	poison
3000	Shergaon	poison	poison	duk	duk	d u k		819	819	d u k	i n c	819	poison
#
3001	Khispi	porcupine	porcupine	ɕa-bi	ɕa+bi	ɕ a + b i		821 820	821 820	ɕ a + b i -	i n + i n	821 820	porcupine porcupine
3002	Duhumbi	porcupine	porcupine	ɕa-bɛj	ɕa+bɛj	ɕ a + b ɛ j		821 820	821 820	ɕ a + b ɛ j	i n + i n c	821 820	porcupine porcupine
3003	Khoina	porcupine	porcupine	ʂu-bɐʰ	ʂu+bɐʰ	ʂ u + b ɐʰ		821 820	821 820	ʂ u + b ɐʰ -	i n + i n	821 820	porcupine porcupine
3004	Jerigaon	porcupine	porcupine	su-bɐʰ	su+bɐʰ	s u + b ɐʰ		821 820	821 820	s u + b ɐʰ -	i n + i n	821 820	porcupine porcupine
3005	Khoitam	porcupine	porcupine	zu-bɔʰ	zu+bɔʰ	z u + b ɔʰ		821 820	821 820	z u + b ɔʰ -	i n + i n	821 820	porcupine porcupine
3006	Rahung	porcupine	porcupine	sə-bɔʰ ~ su-bɔʰ	sə+bɔʰ	s ə + b ɔʰ		821 820	821 820	s ə + b ɔʰ -	i n + i n	821 820	porcupine porcupine
3007	Rupa	porcupine	porcupine	sə-bɔ	sə+bɔ	s ə + b ɔ		821 820	821 820	s ə + b ɔ -	i n + i n	821 820	porcupine porcupine
3008	Shergaon	porcupine	porcupine	sə-bɔ	sə+bɔ	s ə + b ɔ		821 820	821 820	s ə + b ɔ -	i n + i n	821 820	porcupine porcupine
#
3010	Duhumbi	potato-bean	potato-bean	mɛn	mɛn	m ɛ n		822	822	m ɛ n	i n c	393	?
3013	Khoitam	potato-bean	potato-bean	man	man	m a n		822	822	m a n	i n c	393	?
3015	Rupa	potato-bean	potato-bean	man	man	m a n		822	822	m a n	i n c	762	?
#
3017	Khispi	pour	pour	huk	huk	h u k		823	823	h u k	i n c	823	pour
3018	Duhumbi	pour	pour	huk	huk	h u k		823	823	h u k	i n c	823	pour
3023	Rupa	pour	pour	lyk	lyk	l y k		823	823	l y k	i n c	823	pour
3024	Shergaon	pour	pour	luk	luk	l u k		823	823	l u k	i n c	823	pour
#
3025	Khispi	present	present	-de	+de	d e		824	824	d e	i n	824	present
3026	Duhumbi	present	present	-deˀ	+deˀ	d eˀ		824	824	d eˀ	i n	824	present
3027	Khoina	present	present	-di	+di	d i		824	824	d i	i n	824	present
#
3033	Khispi	prohibitive prefix	prohibitive prefix	tʰa-	tʰa+	tʰ a		825	825	tʰ a	i n	825	prohibitiveprefix
3034	Duhumbi	prohibitive prefix	prohibitive prefix	tʰa-	tʰa+	tʰ a		825	825	tʰ a	i n	825	prohibitiveprefix
3036	Jerigaon	prohibitive prefix	prohibitive prefix	tʰə-	tʰə+	tʰ ə		825	825	tʰ ə	i n	825	prohibitiveprefix
3037	Khoitam	prohibitive prefix	prohibitive prefix	tʰə-	tʰə+	tʰ ə		825	825	tʰ ə	i n	825	prohibitiveprefix
3038	Rahung	prohibitive prefix	prohibitive prefix	tʰə-	tʰə+	tʰ ə		825	825	tʰ ə	i n	825	prohibitiveprefix
3039	Rupa	prohibitive prefix	prohibitive prefix	də-	də+	d ə		825	825	d ə	i n	825	prohibitiveprefix
3040	Shergaon	prohibitive prefix	prohibitive prefix	də-	də+	d ə		825	825	d ə	i n	825	prohibitiveprefix
#
3041	Khispi	pull	pull1	kʰɛŋ	kʰɛŋ	kʰ ɛ ŋ		826	826	kʰ - ɛ ŋ	i n c	286	?
