NUMBER	COGNATESET	CONCEPT	MORPHEME	PROTOFORM	SCORE
1	1232	wet	wet	1.00	³⁶l ⁴a
1	1233	wet	wet	0.50	⁴kh|³⁶kʰ ⁰?
1	1235	wheat	wheat	0.50	⁰? ³⁰a
1	1237	wheat	wheat	0.00	⁰? ⁰?
1	1238	when	when	1.00	²⁵d ⁶a ⁹ŋ
1	1240	where	where	1.00	³hla|⁵hl ⁹a
1	1241	where	where	0.50	⁰? ⁷²a
1	1246	white	white	1.00	⁴z ¹¹a
1	1248	white	white	0.67	⁰? ¹⁸⁸a ¹⁰r
1	1249	who	who	0.50	⁰? ¹⁴I
1	1252	wife	wife	1.00	²¹j ³⁰a
1	1253	wind	wind	0.67	¹⁸s ⁶o ⁰?
1	1254	wind	wind	0.33	⁰? ⁰? ¹⁸m
1	1256	window	window	1.00	⁵tɕ ²⁴u ⁸²ŋ
1	1257	window	window	0.00	⁰? ⁰? ⁰?
1	1259	wing	wing	0.33	⁰? ⁰? ³⁵j
1	1262	wipe	wipe	1.00	³¹u
1	1263	woman	woman	1.00	⁸dʑ ⁹a
1	1266	wool	wool	0.67	⁰? ²⁰a ¹¹⁶k
1	1268	word	word	0.00	⁰? ⁰? ⁰?
1	1269	work	work	0.75	³pl ⁶r ⁰? ⁴t
1	1270	wring, squeeze	wringsqueeze	0.67	⁵tɕ ⁰? ¹⁰r
1	1272	year, next	yearnext	1.00	³pl ⁸a
1	1276	year, next	yearnext	0.50	⁰? ³a
1	1277	year, this	yearthis	0.50	⁰? ⁷u
1	1278	year, this	yearthis	0.67	³¹tʰ ⁷²a ⁰?
1	1280	yellow	yellow	0.00	⁰?
1	1281	yellow	yellow	0.00	⁰? ⁰?
1	1282	yesterday	yesterday	0.33	⁰? ⁰? ⁸j
1	1283	yesterday	yesterday	1.00	²¹j ⁵a ¹⁶w
1	1285	2pl.excl	_excl2	1.00	³pl|³²b ⁶r ¹⁴a|⁴⁵u ⁶m|⁹⁷ŋ
