ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS
2184	Shergaon	langur	langur	zu	zu	z u		598	597	z u -	i n	598
2185	Khispi	lap	lap	de-ma	de+ma	d e + m a		599 600	599 600	d e - + m a	i n + i n	599 600
2186	Duhumbi	lap	lap	dɛm	dɛm	d ɛ m		599	599	d ɛ m	i n c	599
2187	Khoina	lap	lap	dɛ̃ː	dɛ̃ː	d ɛ̃ː		599	599	d ɛ̃ː -	i n	599
2188	Jerigaon	lap	lap	dɛ̃ĩ	dɛ̃ĩ	d ɛ̃ĩ		599	599	d ɛ̃ĩ -	i n	599
2189	Khoitam	lap	lap	dĩː	dĩː	d ĩː		599	599	d ĩː -	i n	599
2190	Rahung	lap	lap	dĩː	dĩː	d ĩː		599	599	d ĩː -	i n	599
2191	Rupa	lap	lap	dɛ̃ː	dɛ̃ː	d ɛ̃ː		599	599	d ɛ̃ː -	i n	599
2192	Shergaon	lap	lap	dɛ̃ː	dɛ̃ː	d ɛ̃ː		599	599	d ɛ̃ː -	i n	599
2194	Duhumbi	late (vi)	late (vi)	jɔt	jɔt	j ɔ t		601	601	j ɔ t	i n c	601
2196	Jerigaon	late (vi)	late (vi)	jeˀ	jeˀ	j eˀ		601	601	j eˀ -	i n	601
2197	Khoitam	late (vi)	late (vi)	jeˀ	jeˀ	j eˀ		601	601	j eˀ -	i n	601
2198	Rahung	late (vi)	late (vi)	jeˀ	jeˀ	j eˀ		601	601	j eˀ -	i n	601
2199	Rupa	late (vi)	late (vi)	jeˀ	jeˀ	j eˀ		601	601	j eˀ -	i n	601
2201	Khispi	laugh	laugh	ʑej ~ ʑe	ʑej	ʑ e j		602	602	ʑ e j	i n c	602
2202	Duhumbi	laugh	laugh	ʑɛj	ʑɛj	ʑ ɛ j		602	602	ʑ ɛ j	i n c	602
2203	Khoina	laugh	laugh	ʐaː	ʐaː	ʐ aː		602	602	ʐ aː -	i n	602
2204	Jerigaon	laugh	laugh	zɛ ~ zaː	zɛ	z ɛ		602	602	z ɛ -	i n	602
2205	Khoitam	laugh	laugh	zɛː	zɛː	z ɛː		602	602	z ɛː -	i n	602
2206	Rahung	laugh	laugh	zɛː	zɛː	z ɛː		602	602	z ɛː -	i n	602
2207	Rupa	laugh	laugh	zaː	zaː	z aː		602	602	z aː -	i n	602
2208	Shergaon	laugh	laugh	zaː	zaː	z aː		602	602	z aː -	i n	602
2209	Khispi	leaf	leaf	u-lap	u+lap	u + l a p		604 603	604 603	u + l a p	n + i n c	56 603
2210	Duhumbi	leaf	leaf	u-lap	u+lap	u + l a p		604 603	604 603	u + l a p	n + i n c	56 603
2211	Khoina	leaf	leaf	a-la	a+la	a + l a		604 603	604 603	a + l a -	n + i n	56 603
2212	Jerigaon	leaf	leaf	a-lɛˀ	a+lɛˀ	a + l ɛˀ		604 603	604 603	a + l ɛˀ -	n + i n	56 603
2213	Khoitam	leaf	leaf	a-rap	a+rap	a + r a p		604 603	604 603	a + r a p	n + i n c	56 603
2214	Rahung	leaf	leaf	a-rap	a+rap	a + r a p		604 603	604 603	a + r a p	n + i n c	56 603
2215	Rupa	leaf	leaf	a-lap	a+lap	a + l a p		604 603	604 603	a + l a p	n + i n c	56 603
2216	Shergaon	leaf	leaf	a-lap	a+lap	a + l a p		604 603	604 603	a + l a p	n + i n c	56 603
2217	Khispi	leaf litter	leaf litter	sum-ba	sum+ba	s u m + b a		606 605	606 605	s u m + b a	i n c + i n	606 605
2218	Duhumbi	leaf litter	leaf litter	sum-baˀ	sum+baˀ	s u m + b aˀ		606 605	606 605	s u m + b aˀ	i n c + i n	606 605
2219	Khoina	leaf litter	leaf litter	sɔɹ-bɔ	sɔɹ+bɔ	s ɔ ɹ + b ɔ		606 605	606 605	s ɔ ɹ + b ɔ	i n c + i n	606 605
2220	Jerigaon	leaf litter	leaf litter	sɔɹ-bɔ	sɔɹ+bɔ	s ɔ ɹ + b ɔ		606 605	606 605	s ɔ ɹ + b ɔ	i n c + i n	606 605
2221	Khoitam	leaf litter	leaf litter	su-bɔ	su+bɔ	s u + b ɔ		606 605	606 605	s u - + b ɔ	i n + i n	606 605
2222	Rahung	leaf litter	leaf litter	sə-boː	sə+boː	s ə + b oː		606 605	606 605	s ə - + b oː	i n + i n	606 605
2223	Rupa	leaf litter	leaf litter	sɔɹ-bɔ	sɔɹ+bɔ	s ɔ ɹ + b ɔ		606 605	606 605	s ɔ ɹ + b ɔ	i n c + i n	606 605
2224	Shergaon	leaf litter	leaf litter	sɛj-bu	sɛj+bu	s ɛ j + b u		606 605	606 605	s ɛ j + b u	i n c + i n	606 605
2225	Khispi	leech, land	leech, land	pat-pa	pat+pa	p a t + p a		212 194	608 607	p a t + p a	i n c + i n	212 32
2226	Duhumbi	leech, land	leech, land	pat-pa	pat+pa	p a t + p a		212 194	608 607	p a t + p a	i n c + i n	212 32
2227	Khoina	leech, land	leech, land	pʰa-wɛ	pʰa+wɛ	pʰ a + w ɛ		608 607	608 607	pʰ a + w ɛ -	i n + i n	608 607
2228	Jerigaon	leech, land	leech, land	pʰy-wɛ	pʰy+wɛ	pʰ y + w ɛ		608 607	608 607	pʰ y + w ɛ -	i n + i n	608 607
2229	Khoitam	leech, land	leech, land	pʰu-wap	pʰu+wap	pʰ u + w a p		608 607	608 607	pʰ u + w a p	i n + i n c	608 607
2230	Rahung	leech, land	leech, land	pʰə-pʰɛ	pʰə+pʰɛ	pʰ ə + pʰ ɛ		608 607	608 607	pʰ ə + pʰ ɛ -	i n + i n	608 607
2231	Rupa	leech, land	leech, land	pʰu-wat	pʰu+wat	pʰ u + w a t		608 607	608 607	pʰ u + w a t	i n + i n c	608 607
2232	Shergaon	leech, land	leech, land	pat-pu	pat+pu	p a t + p u		212 194	608 607	p a t + p u	i n c + i n	212 32
2233	Khispi	leech, water	leech, water	pʰu-tis	pʰu+tis	pʰ u + t i s		610 609	610 609	pʰ u + t - i s	i n + i n c	570 609
2235	Khoina	leech, water	leech, water	di-ʦʰik	di+ʦʰik	d i + tsʰ i k		220 609	611 609	d i + tsʰ - i k	i n + i n c	220 609
2236	Jerigaon	leech, water	leech, water	pʰyː pʰ-ʨʰik	pʰyː_pʰ+ʨʰik	pʰ yː _ pʰ + tɕʰ i k		610 216 609	610 609 609	pʰ yː + pʰ + tɕʰ - i k	i n + i + i n c	570 216 609
2237	Khoitam	leech, water	leech, water	pʰ-ʨʰik	pʰ+ʨʰik	pʰ + tɕʰ i k		216 609	610 609	pʰ + tɕʰ - i k	i + i n c	216 609
2238	Rahung	leech, water	leech, water	pʰ-ʨʰik	pʰ+ʨʰik	pʰ + tɕʰ i k		216 609	610 609	pʰ + tɕʰ - i k	i + i n c	216 609
2240	Shergaon	leech, water	leech, water	ʨʰin-ʨʰɹik	ʨʰin+ʨʰɹik	tɕʰ i n + tɕʰ ɹ i k		611 609	611 609	tɕʰ i n + tɕʰ ɹ i k	i n c + i m n c	611 609
2241	Khispi	left (side)	left (side)	ɲim-lak-pa ~ ɲim-dak-pa	ɲim+lak+pa	ɲ i m + l a k + p a		618 615 614	618 615 614	ɲ i m + l a k + p a	i n c + i n c + i n	618 165 28
2242	Duhumbi	left (side)	left (side)	jɔm-lak-pa	jɔm+lak+pa	j ɔ m + l a k + p a		619 615 614	619 615 614	j ɔ m + l a k + p a	i n c + i n c + i n	619 165 28
2243	Khoina	left (side)	left (side)	a-xɛ	a+xɛ	a + x ɛ		613 612	613 612	a + x ɛ	n + i n	387 612
2244	Jerigaon	left (side)	left (side)	ə-he-tɛn ~ a-he-tɛn	ə+he+tɛn	ə + h e + t ɛ n		613 612 616	613 612 616	ə + h e + t ɛ n	n + i n + i n c	387 612 616
2245	Khoitam	left (side)	left (side)	ə-he	ə+he	ə + h e		613 612	613 612	ə + h e	n + i n	387 612
2246	Rahung	left (side)	left (side)	he-tɔ ~ he-tɛn	he+tɔ	h e + t ɔ		612 616	612 616	h e + t ɔ -	i n + i n	612 616
2247	Rupa	left (side)	left (side)	bə-kʰe	bə+kʰe	b ə + kʰ e		617 612	617 612	b ə + kʰ e	i n + i n	501 612
2248	Shergaon	left (side)	left (side)	bə-kʰe	bə+kʰe	b ə + kʰ e		617 612	617 612	b ə + kʰ e	i n + i n	501 612
2249	Khispi	leg	leg	lej	lej	l e j		620	620	l e j	i n c	620
2250	Duhumbi	leg	leg	lɛj	lɛj	l ɛ j		620	620	l ɛ j	i n c	620
2251	Khoina	leg	leg	laː	laː	l aː		620	620	l aː -	i n	620
2252	Jerigaon	leg	leg	lɛˀ	lɛˀ	l ɛˀ		620	620	l ɛˀ -	i n	620
2253	Khoitam	leg	leg	lɛˀ	lɛˀ	l ɛˀ		620	620	l ɛˀ -	i n	620
2254	Rahung	leg	leg	lɛˀ	lɛˀ	l ɛˀ		620	620	l ɛˀ -	i n	620
2255	Rupa	leg	leg	laˀ	laˀ	l aˀ		620	620	l aˀ -	i n	620
2256	Shergaon	leg	leg	la	la	l a		620	620	l a -	i n	620
2257	Khispi	lick	lick	lak	lak	l a k		621	621	l a k	i n c	166
2258	Duhumbi	lick	lick	lak	lak	l a k		621	621	l a k	i n c	166
2259	Khoina	lick	lick	lɐk	lɐk	l ɐ k		621	621	l ɐ k	i n c	166
2260	Jerigaon	lick	lick	lɐk	lɐk	l ɐ k		621	621	l ɐ k	i n c	166
2261	Khoitam	lick	lick	lak	lak	l a k		621	621	l a k	i n c	166
2262	Rahung	lick	lick	lak	lak	l a k		621	621	l a k	i n c	166
2267	Khoina	lie (n)	lie (n)	tɛˀ	tɛˀ	t ɛˀ		622	622	t ɛˀ	i n	622
2268	Jerigaon	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622
2269	Khoitam	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622
2270	Rahung	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622
2271	Rupa	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622
2272	Shergaon	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622
2273	Khispi	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624
2274	Duhumbi	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624
2277	Khoitam	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624
2279	Rupa	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624
2280	Shergaon	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624
2281	Khispi	light	light	jaŋ-ɕɔk ~ jaŋ-kan-ma	jaŋ+ɕɔk	j a ŋ + ɕ ɔ k		628 625	628 625	j a ŋ + ɕ ɔ k	i n c + i n c	184 625
2282	Duhumbi	light	light	jaŋ-pu	jaŋ+pu	j a ŋ + p u		628 629	628 629	j a ŋ + p u	i n c + i n	184 629
2283	Khoina	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	a + r u ŋ + d u	n + i n c + i n	56 625 120
2284	Jerigaon	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	a + r u ŋ + d u	n + i n c + i n	56 625 120
2285	Khoitam	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	a + r u ŋ + d u	n + i n c + i n	56 625 120
2286	Rahung	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	a + r u ŋ + d u	n + i n c + i n	56 625 120
2287	Rupa	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	a + r u ŋ + d u	n + i n c + i n	56 625 120
2288	Shergaon	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	a + r u ŋ + d u	n + i n c + i n	56 625 120
2289	Khispi	lightning	lightning	nam-liŋ ~ nam-ki-liŋ waŋ	nam+liŋ	n a m + l i ŋ		630 226	630 631	n a m + l i ŋ	i n c + i n c	335 226
2291	Khoina	lightning	lightning	nə-ʦʰaː	nə+ʦʰaː	n ə + tsʰ aː		630 631	630 631	n ə - + tsʰ aː	i n + i n	335 334
2292	Jerigaon	lightning	lightning	nam-bla kʰɛː	nam+bla_kʰɛː	n a m + b l a _ kʰ ɛː		630 227 230	630 631 632	n a m + b l a + kʰ ɛː	i n c + i m n + i n	335 227 230
2293	Khoitam	lightning	lightning	nam tap	nam_tap	n a m _ t a p		630 633	630 631	n a m + t a p	i n c + i n c	335 633
2294	Rahung	lightning	lightning	nam-ʨʰə-rɛː rɛt ~ ʨʰe	nam+ʨʰə+rɛː_rɛt	n a m + tɕʰ ə + r ɛː _ r ɛ t		630 631 230 231	630 631 632 633	n a m + tɕʰ ə + r ɛː + r ɛ t	i n c + i n + i n + i n c	335 334 230 231
2295	Rupa	lightning	lightning	nə-myː ba tap	nə+myː_ba_tap	n ə + m yː _ b a _ t a p		630 634 632 633	630 634 632 633	n ə - + m yː + b a + t a p	i n + i n + i n + i n c	335 634 417 633
2296	Shergaon	lightning	lightning	ni-mi ba tap	ni+mi_ba_tap	n i + m i _ b a _ t a p		630 634 632 633	630 634 632 633	n i - + m i + b a + t a p	i n + i n + i n + i n c	335 634 417 633
2298	Duhumbi	like, love	like, love	hɔn	hɔn	h ɔ n		635	635	h ɔ n	i n c	635
2299	Khoina	like, love	like, love	xøː	xøː	x øː		635	636	x øː -	i n	635
2301	Khoitam	like, love	like, love	hĩː	hĩː	h ĩː		635	635	h ĩː -	i n	635
2302	Rahung	like, love	like, love	hyː	hyː	h yː		635	635	h yː -	i n	635
2303	Rupa	like, love	like, love	høn	høn	h ø n		635	635	h ø n	i n c	635
2305	Khispi	liquor	liquor	pʰak	pʰak	pʰ a k		637	637	pʰ a k	i n c	637
2306	Duhumbi	liquor	liquor	pʰak	pʰak	pʰ a k		637	637	pʰ a k	i n c	637
2307	Khoina	liquor	liquor	pʰɐk	pʰɐk	pʰ ɐ k		637	637	pʰ ɐ k	i n c	637
2308	Jerigaon	liquor	liquor	pʰɐk	pʰɐk	pʰ ɐ k		637	637	pʰ ɐ k	i n c	637
2309	Khoitam	liquor	liquor	pʰak	pʰak	pʰ a k		637	637	pʰ a k	i n c	637
2310	Rahung	liquor	liquor	pʰak	pʰak	pʰ a k		637	637	pʰ a k	i n c	637
2311	Rupa	liquor	liquor	pʰak	pʰak	pʰ a k		637	637	pʰ a k	i n c	637
2312	Shergaon	liquor	liquor	pʰak	pʰak	pʰ a k		637	637	pʰ a k	i n c	637
2313	Khispi	listen, heed	listen, heed	na ~ ha	na	n a		638	638	n a -	i n	638
2314	Duhumbi	listen, heed	listen, heed	na ~ ha	na	n a		638	638	n a -	i n	638
2315	Khoina	listen, heed	listen, heed	nu	nu	n u		638	638	n u -	i n	638
2316	Jerigaon	listen, heed	listen, heed	nu	nu	n u		638	638	n u -	i n	638
2317	Khoitam	listen, heed	listen, heed	nuŋ	nuŋ	n u ŋ		638	638	n u ŋ	i n c	638
2318	Rahung	listen, heed	listen, heed	nuŋ	nuŋ	n u ŋ		638	638	n u ŋ	i n c	638
2319	Rupa	listen, heed	listen, heed	nu ~ nuŋ	nu	n u		638	638	n u -	i n	638
2321	Khispi	live, stay	live, stay	ʥu	ʥu	dʑ u		639	639	dʑ u -	i n	639
2322	Duhumbi	live, stay	live, stay	ʥu	ʥu	dʑ u		639	639	dʑ u -	i n	639
2323	Khoina	live, stay	live, stay	ʣɔː	ʣɔː	dz ɔː		639	639	dz ɔː -	i n	639
2324	Jerigaon	live, stay	live, stay	ʥɔː	ʥɔː	dʑ ɔː		639	639	dʑ ɔː -	i n	639
2325	Khoitam	live, stay	live, stay	ʥɔː	ʥɔː	dʑ ɔː		639	639	dʑ ɔː -	i n	639
2326	Rahung	live, stay	live, stay	ʥoː	ʥoː	dʑ oː		639	639	dʑ oː -	i n	639
2327	Rupa	live, stay	live, stay	ʥaw	ʥaw	dʑ a w		639	639	dʑ a w	i n c	639
2328	Shergaon	live, stay	live, stay	ʥaw	ʥaw	dʑ a w		639	639	dʑ a w	i n c	639
2329	Khispi	liver	liver	ɕa-pɕin	ɕa+pɕin	ɕ a + p ɕ i n		642 640	642 640	ɕ a + p ɕ i n	i n + i m n c	115 640
2331	Khoina	liver	liver	də-ʦʰɛ̃ː	də+ʦʰɛ̃ː	d ə + tsʰ ɛ̃ː		643 640	643 640	d ə + tsʰ - ɛ̃ː -	i n + i n	643 640
2332	Jerigaon	liver	liver	sɛ̃ĩ	sɛ̃ĩ	s ɛ̃ĩ		640	642	s - ɛ̃ĩ -	i n	640
2333	Khoitam	liver	liver	s-sĩː ~ sə-sĩː ~ ʦʰ-sĩː ~ ʦʰə-sĩː	s+sĩː	s + s ĩː		642 640	642 640	s - + s - ĩː -	i + i n	115 640
2334	Rahung	liver	liver	a-ʨʰĩː	a+ʨʰĩː	a + tɕʰ ĩː		641 640	641 640	a + tɕʰ - ĩː -	n + i n	56 640
2335	Rupa	liver	liver	a-ʦʰɛ̃ː ~ a-ʨʰĩː	a+ʦʰɛ̃ː	a + tsʰ ɛ̃ː		641 640	641 640	a + tsʰ - ɛ̃ː -	n + i n	56 640
2336	Shergaon	liver	liver	a-ʦʰɛ̃ː	a+ʦʰɛ̃ː	a + tsʰ ɛ̃ː		641 640	641 640	a + tsʰ - ɛ̃ː -	n + i n	56 640
2337	Khispi	load (n)	load (n)	jɔŋ	jɔŋ	j ɔ ŋ		644	644	j ɔ ŋ	i n c	644
2338	Duhumbi	load (n)	load (n)	jɔŋ	jɔŋ	j ɔ ŋ		644	644	j ɔ ŋ	i n c	644
2339	Khoina	load (n)	load (n)	juŋ	juŋ	j u ŋ		644	644	j u ŋ	i n c	644
2341	Khoitam	load (n)	load (n)	juŋ	juŋ	j u ŋ		644	644	j u ŋ	i n c	644
2342	Rahung	load (n)	load (n)	juŋ	juŋ	j u ŋ		644	644	j u ŋ	i n c	644
2343	Rupa	load (n)	load (n)	juŋ	juŋ	j u ŋ		644	644	j u ŋ	i n c	644
2345	Khispi	locative	locative	-kʰɔ	+kʰɔ	kʰ ɔ		645	645	kʰ ɔ	i n	645
2346	Duhumbi	locative	locative	-kʰɔ	+kʰɔ	kʰ ɔ		645	645	kʰ ɔ	i n	645
2347	Khoina	locative	locative	-kʰɔ	+kʰɔ	kʰ ɔ		645	645	kʰ ɔ	i n	645
2351	Rupa	locative	locative	-gɔ	+gɔ	g ɔ		645	645	g ɔ	i n	645
2352	Shergaon	locative	locative	-kʰɔ	+kʰɔ	kʰ ɔ		645	645	kʰ ɔ	i n	645
2353	Khispi	long	long	u-liŋ	u+liŋ	u + l i ŋ		647 646	647 646	u + l i ŋ	n + i n c	56 646
2354	Duhumbi	long	long	u-riŋ	u+riŋ	u + r i ŋ		647 646	647 646	u + r i ŋ	n + i n c	56 646
2355	Khoina	long	long	a-rajŋ	a+rajŋ	a + r aj/ai ŋ		647 646	647 646	a + r aj/ai ŋ	n + i n c	56 646
2356	Jerigaon	long	long	a-rɛŋ	a+rɛŋ	a + r ɛ ŋ		647 646	647 646	a + r ɛ ŋ	n + i n c	56 646
2357	Khoitam	long	long	a-rɛŋ	a+rɛŋ	a + r ɛ ŋ		647 646	647 646	a + r ɛ ŋ	n + i n c	56 646
2358	Rahung	long	long	a-rɛŋ	a+rɛŋ	a + r ɛ ŋ		647 646	647 646	a + r ɛ ŋ	n + i n c	56 646
2359	Rupa	long	long	a-rɛŋ	a+rɛŋ	a + r ɛ ŋ		647 646	647 646	a + r ɛ ŋ	n + i n c	56 646
2360	Shergaon	long	long	a-rɛŋ	a+rɛŋ	a + r ɛ ŋ		647 646	647 646	a + r ɛ ŋ	n + i n c	56 646
2363	Khoina	look	look	lɛn	lɛn	l ɛ n		648	648	l ɛ n	i n c	648
2364	Jerigaon	look	look	lɛn	lɛn	l ɛ n		648	648	l ɛ n	i n c	648
2365	Khoitam	look	look	lan	lan	l a n		648	648	l a n	i n c	648
2366	Rahung	look	look	lɛn	lɛn	l ɛ n		648	648	l ɛ n	i n c	648
2367	Rupa	look	look	lan	lan	l a n		648	648	l a n	i n c	648
2369	Khispi	louse	louse	hɛk	hɛk	h ɛ k		649	649	h - ɛ k	i n c	168
2370	Duhumbi	louse	louse	hjɛk	hjɛk	h j ɛ k		649	649	h j ɛ k	i m n c	168
2371	Khoina	louse	louse	xajk	xajk	x aj/ai k		649	650	x - aj/ai k	i n c	168
2372	Jerigaon	louse	louse	hɛk ~ hɛʔ-mu	hɛk	h ɛ k		649	649	h - ɛ k	i n c	168
2373	Khoitam	louse	louse	hɛk	hɛk	h ɛ k		649	649	h - ɛ k	i n c	168
2374	Rahung	louse	louse	hɛk	hɛk	h ɛ k		649	649	h - ɛ k	i n c	168
2375	Rupa	louse	louse	hɛk	hɛk	h ɛ k		649	649	h - ɛ k	i n c	168
2376	Shergaon	louse	louse	hɛk	hɛk	h ɛ k		649	649	h - ɛ k	i n c	168
2379	Khoina	lungs	lungs	sə-rĩː sə-ruk	sə+rĩː_sə+ruk	s ə + r ĩː _ s ə + r u k		652 651 654 653	652 651 654 653	s ə + r ĩː + s ə + r u k	i n + i n + i n + i n c	652 651 132 375
2380	Jerigaon	lungs	lungs	sə-rɛ̃ĩ sə-ruk	sə+rɛ̃ĩ_sə+ruk	s ə + r ɛ̃ĩ _ s ə + r u k		652 651 654 653	652 651 654 653	s ə + r ɛ̃ĩ + s ə + r u k	i n + i n + i n + i n c	652 651 132 375
2381	Khoitam	lungs	lungs	sə-rĩː sə-ruk	sə+rĩː_sə+ruk	s ə + r ĩː _ s ə + r u k		652 651 654 653	652 651 654 653	s ə + r ĩː + s ə + r u k	i n + i n + i n + i n c	652 651 132 375
2382	Rahung	lungs	lungs	su sə-ruk	su_sə+ruk	s u _ s ə + r u k		652 654 653	652 654 651	s u + s ə + r u k	i n + i n + i n c	652 132 375
2383	Rupa	lungs	lungs	sə-lyŋ sə-ruk	sə+lyŋ_sə+ruk	s ə + l y ŋ _ s ə + r u k		652 235 654 653	652 651 655 653	s ə + l y ŋ + s ə + r u k	i n + i n c + i n + i n c	652 235 132 375
2384	Shergaon	lungs	lungs	sə-luŋ sə-ruk	sə+luŋ_sə+ruk	s ə + l u ŋ _ s ə + r u k		652 235 654 653	652 651 655 653	s ə + l u ŋ + s ə + r u k	i n + i n c + i n + i n c	652 235 132 375
2386	Duhumbi	macaque	macaque	ɕa-dɔŋ	ɕa+dɔŋ	ɕ a + d ɔ ŋ		656 657	656 657	ɕ a + d ɔ ŋ	i n + i n c	656 657
2387	Khoina	macaque	macaque	ʐy-duŋ	ʐy+duŋ	ʐ y + d u ŋ		656 657	656 657	ʐ y + d u ŋ	i n + i n c	656 657
2388	Jerigaon	macaque	macaque	z(ə)-duŋ	z+duŋ	z + d u ŋ		656 657	656 657	z - + d u ŋ	i + i n c	656 657
2389	Khoitam	macaque	macaque	z(ə)-duŋ	z+duŋ	z + d u ŋ		656 657	656 657	z - + d u ŋ	i + i n c	656 657
2390	Rahung	macaque	macaque	z(ə)-duŋ	z+duŋ	z + d u ŋ		656 657	656 657	z - + d u ŋ	i + i n c	656 657
2391	Rupa	macaque	macaque	z(ə)-duŋ	z+duŋ	z + d u ŋ		656 657	656 657	z - + d u ŋ	i + i n c	656 657
2392	Shergaon	macaque	macaque	z(ə)-duŋ	z+duŋ	z + d u ŋ		656 657	656 657	z - + d u ŋ	i + i n c	656 657
2393	Khispi	machete	machete	hɔ-da	hɔ+da	h ɔ + d a		658 659	658 659	h ɔ - + d a	i n + i n	658 659
2394	Duhumbi	machete	machete	hɔt-da	hɔt+da	h ɔ t + d a		658 659	658 659	h ɔ t + d a	i n c + i n	658 659
2395	Khoina	machete	machete	han-duː	han+duː	h a n + d uː		658 659	658 659	h a n + d uː	i n c + i n	658 659
2396	Jerigaon	machete	machete	haŋ-guː ~ haŋ-gə-duː ~ haŋ-duː	haŋ+guː	h a ŋ + g uː		658 660	658 660	h a ŋ + g uː	i n c + i n	658 660
2397	Khoitam	machete	machete	han-duː	han+duː	h a n + d uː		658 659	658 659	h a n + d uː	i n c + i n	658 659
2398	Rahung	machete	machete	han-duː	han+duː	h a n + d uː		658 659	658 659	h a n + d uː	i n c + i n	658 659
2399	Rupa	machete	machete	han-duː	han+duː	h a n + d uː		658 659	658 659	h a n + d uː	i n c + i n	658 659
2400	Shergaon	machete	machete	han-duː	han+duː	h a n + d uː		658 659	658 659	h a n + d uː	i n c + i n	658 659
2401	Khispi	maize	maize	mɔː-ɕɔ	mɔː+ɕɔ	m ɔː + ɕ ɔ		662 661	662 661	m ɔː + ɕ ɔ -	i n + i n	104 661
2402	Duhumbi	maize	maize	mɛj-ɕiŋ	mɛj+ɕiŋ	m ɛ j + ɕ i ŋ		245 661	662 661	m ɛ j + ɕ i ŋ	i n c + i n c	245 661
2403	Khoina	maize	maize	ma-ʦɛ̃ː	ma+ʦɛ̃ː	m a + ts ɛ̃ː		662 661	662 661	m a + ts ɛ̃ː -	i n + i n	104 661
2404	Jerigaon	maize	maize	mə-ʨĩː	mə+ʨĩː	m ə + tɕ ĩː		662 661	662 661	m ə + tɕ ĩː -	i n + i n	104 661
2405	Khoitam	maize	maize	mə-ʨĩː	mə+ʨĩː	m ə + tɕ ĩː		662 661	662 661	m ə + tɕ ĩː -	i n + i n	104 661
2406	Rahung	maize	maize	pʰ-ʨĩː ~ bə-ʨĩː	pʰ+ʨĩː	pʰ + tɕ ĩː		662 661	663 661	pʰ - + tɕ ĩː -	i + i n	104 661
2409	Khispi	make	make	ʨɔs	ʨɔs	tɕ ɔ s		664	664	tɕ ɔ s	i n c	664
2410	Duhumbi	make	make	ʨʰɔt	ʨʰɔt	tɕʰ ɔ t		664	664	tɕʰ ɔ t	i n c	664
2411	Khoina	make	make	ʨʰɛt	ʨʰɛt	tɕʰ ɛ t		664	664	tɕʰ ɛ t	i n c	664
2417	Khispi	male	male	u-pʰa	u+pʰa	u + pʰ a		666 665	666 665	u + pʰ a	n + i n	56 665
2418	Duhumbi	male	male	u-pʰa	u+pʰa	u + pʰ a		666 665	666 665	u + pʰ a	n + i n	56 665
2419	Khoina	male	male	a-pʰuː	a+pʰuː	a + pʰ uː		666 665	666 665	a + pʰ uː	n + i n	56 665
2420	Jerigaon	male	male	a-pʰuː	a+pʰuː	a + pʰ uː		666 665	666 665	a + pʰ uː	n + i n	56 665
2421	Khoitam	male	male	a-pʰuː	a+pʰuː	a + pʰ uː		666 665	666 665	a + pʰ uː	n + i n	56 665
2422	Rahung	male	male	a-pʰuː	a+pʰuː	a + pʰ uː		666 665	666 665	a + pʰ uː	n + i n	56 665
2423	Rupa	male	male	a-pʰuː	a+pʰuː	a + pʰ uː		666 665	666 665	a + pʰ uː	n + i n	56 665
2424	Shergaon	male	male	a-pʰuː	a+pʰuː	a + pʰ uː		666 665	666 665	a + pʰ uː	n + i n	56 665
2425	Khispi	man	man	ʑɔː-pʰa	ʑɔː+pʰa	ʑ ɔː + pʰ a		667 668	667 669	ʑ ɔː + pʰ a	i n + i n	667 668
