ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT
2709	Khoitam	nest, hive, womb	nest, hive, womb	kʰɔk	kʰɔk	kʰ ɔ k		741	741	kʰ ɔ k
2710	Rahung	nest, hive, womb	nest, hive, womb	kʰɔk	kʰɔk	kʰ ɔ k		741	741	kʰ ɔ k
2711	Rupa	nest, hive, womb	nest, hive, womb	kʰɔk	kʰɔk	kʰ ɔ k		741	741	kʰ ɔ k
2712	Shergaon	nest, hive, womb	nest, hive, womb	kʰɔk	kʰɔk	kʰ ɔ k		741	741	kʰ ɔ k
2713	Khispi	net for fishing	net for fishing	ʨʰɔp	ʨʰɔp	tɕʰ ɔ p		742	742	tɕʰ ɔ p
2714	Duhumbi	net for fishing	net for fishing	ʨʰɔp	ʨʰɔp	tɕʰ ɔ p		742	742	tɕʰ ɔ p
2715	Khoina	net for fishing	net for fishing	ʦʰuk	ʦʰuk	tsʰ u k		742	742	tsʰ u k
2719	Rupa	net for fishing	net for fishing	ʦʰuk ~ ʨʰuk	ʦʰuk	tsʰ u k		742	742	tsʰ u k
2721	Khispi	new	new	ɔ-han	ɔ+han	ɔ + h a n		744 743	744 743	ɔ ◦ h a n
2722	Duhumbi	new	new	ɔ-kʰɔn	ɔ+kʰɔn	ɔ + kʰ ɔ n		744 743	744 743	ɔ ◦ kʰ ɔ n
2723	Khoina	new	new	a-fɛn	a+fɛn	a + f ɛ n		744 743	744 743	a ◦ f ɛ n
2724	Jerigaon	new	new	ə-hɛn	ə+hɛn	ə + h ɛ n		744 743	744 743	ə ◦ h ɛ n
2725	Khoitam	new	new	a-fan	a+fan	a + f a n		744 743	744 743	a ◦ f a n
2726	Rahung	new	new	a-hɛn ~ ɛ-hɛn	a+hɛn	a + h ɛ n		744 743	744 743	a ◦ h ɛ n
2727	Rupa	new	new	a-fan ~ ɔ-fan	a+fan	a + f a n		744 743	744 743	a ◦ f a n
2728	Shergaon	new	new	u-fan	u+fan	u + f a n		744 743	744 743	u ◦ f a n
2729	Khispi	night	night	nam-pʰɔŋ	nam+pʰɔŋ	n a m + pʰ ɔ ŋ		745 746	745 746	n a m ◦ pʰ ɔ ŋ
2730	Duhumbi	night	night	nam-pʰɔŋ	nam+pʰɔŋ	n a m + pʰ ɔ ŋ		745 746	745 746	n a m ◦ pʰ ɔ ŋ
2731	Khoina	night	night	na-pʰuŋ	na+pʰuŋ	n a + pʰ u ŋ		745 746	745 746	n a - ◦ pʰ u ŋ
2733	Khoitam	night	night	nə-pʰuŋ	nə+pʰuŋ	n ə + pʰ u ŋ		745 746	745 746	n ə - ◦ pʰ u ŋ
2734	Rahung	night	night	nə-pʰuŋ	nə+pʰuŋ	n ə + pʰ u ŋ		745 746	745 746	n ə - ◦ pʰ u ŋ
2735	Rupa	night	night	nə-pʰuŋ ~ nə-pʰuː	nə+pʰuŋ	n ə + pʰ u ŋ		745 746	745 746	n ə - ◦ pʰ u ŋ
2736	Shergaon	night	night	nə-pʰuŋ	nə+pʰuŋ	n ə + pʰ u ŋ		745 746	745 746	n ə - ◦ pʰ u ŋ
2737	Khispi	nine	nine	tʰi-kʰu	tʰi+kʰu	tʰ i + kʰ u		748 747	748 747	tʰ i - ◦ kʰ u
2738	Duhumbi	nine	nine	tʰi-kʰu	tʰi+kʰu	tʰ i + kʰ u		748 747	748 747	tʰ i - ◦ kʰ u
2739	Khoina	nine	nine	dy-kʰyː(j)	dy+kʰyː	d y + kʰ yː		748 747	748 747	d y - ◦ kʰ yː
2740	Jerigaon	nine	nine	tʰ-kʰyː	tʰ+kʰyː	tʰ + kʰ yː		748 747	748 747	tʰ - - ◦ kʰ yː
2741	Khoitam	nine	nine	tʰə-kʰyː ~ tʰɛk-kʰyː	tʰə+kʰyː	tʰ ə + kʰ yː		748 747	748 747	tʰ ə - ◦ kʰ yː
2742	Rahung	nine	nine	tʰɛk-kʰyː	tʰɛk+kʰyː	tʰ ɛ k + kʰ yː		748 747	748 747	tʰ ɛ k ◦ kʰ yː
2743	Rupa	nine	nine	də-kʰyː	də+kʰyː	d ə + kʰ yː		748 747	748 747	d ə - ◦ kʰ yː
2744	Shergaon	nine	nine	də-kʰyː	də+kʰyː	d ə + kʰ yː		748 747	748 747	d ə - ◦ kʰ yː
2745	Khispi	nomen agentis	nomen agentis	-kʰɛn	+kʰɛn	kʰ ɛ n		749	749	kʰ ɛ n
2746	Duhumbi	nomen agentis	nomen agentis	-kʰɛn	+kʰɛn	kʰ ɛ n		749	749	kʰ ɛ n
2747	Khoina	nomen agentis	nomen agentis	-kʰɛn	+kʰɛn	kʰ ɛ n		749	749	kʰ ɛ n
2748	Jerigaon	nomen agentis	nomen agentis	-kʰɛn	+kʰɛn	kʰ ɛ n		749	749	kʰ ɛ n
2749	Khoitam	nomen agentis	nomen agentis	-kʰan	+kʰan	kʰ a n		749	749	kʰ a n
2750	Rahung	nomen agentis	nomen agentis	-kʰɛn	+kʰɛn	kʰ ɛ n		749	749	kʰ ɛ n
2751	Rupa	nomen agentis	nomen agentis	-kʰan	+kʰan	kʰ a n		749	749	kʰ a n
2752	Shergaon	nomen agentis	nomen agentis	-kʰan	+kʰan	kʰ a n		749	749	kʰ a n
2753	Khispi	nominaliser	nominaliser	-ba ~ -pa	+ba	b a		750	750	b a
2754	Duhumbi	nominaliser	nominaliser	-ba ~ -pa	+ba	b a		750	750	b a
2756	Jerigaon	nominaliser	nominaliser	-ba	+ba	b a		750	750	b a
2758	Rahung	nominaliser	nominaliser	-ba	+ba	b a		750	750	b a
2761	Khispi	noon	noon	buɕ-tan	buɕ+tan	b u ɕ + t a n		753 751	753 751	b u ɕ ◦ t a n
2762	Duhumbi	noon	noon	bis-tan ~ bus-tan	bis+tan	b i s + t a n		753 751	753 751	b i s ◦ t a n
2763	Khoina	noon	noon	ha-tɐ̃ː	ha+tɐ̃ː	h a + t ɐ̃ː		752 751	752 751	h a ◦ t ɐ̃ː -
2764	Jerigaon	noon	noon	ha-tɐ̃ː	ha+tɐ̃ː	h a + t ɐ̃ː		752 751	752 751	h a ◦ t ɐ̃ː -
2765	Khoitam	noon	noon	ha-tɔ̃ː	ha+tɔ̃ː	h a + t ɔ̃ː		752 751	752 751	h a ◦ t ɔ̃ː -
2766	Rahung	noon	noon	ha-tɔ̃ː	ha+tɔ̃ː	h a + t ɔ̃ː		752 751	752 751	h a ◦ t ɔ̃ː -
2767	Rupa	noon	noon	ha-tɔ̃ː	ha+tɔ̃ː	h a + t ɔ̃ː		752 751	752 751	h a ◦ t ɔ̃ː -
2768	Shergaon	noon	noon	ha-tɔ̃ː	ha+tɔ̃ː	h a + t ɔ̃ː		752 751	752 751	h a ◦ t ɔ̃ː -
2769	Khispi	nose	nose	hɛm-pʰɔŋ	hɛm+pʰɔŋ	h ɛ m + pʰ ɔ ŋ		755 754	756 754	h ɛ m ◦ pʰ ɔ ŋ
2770	Duhumbi	nose	nose	hɛm-pʰɔŋ	hɛm+pʰɔŋ	h ɛ m + pʰ ɔ ŋ		755 754	756 754	h ɛ m ◦ pʰ ɔ ŋ
2771	Khoina	nose	nose	nə-pʰuŋ	nə+pʰuŋ	n ə + pʰ u ŋ		755 754	755 754	n ə ◦ pʰ u ŋ
2772	Jerigaon	nose	nose	nə-pʰuŋ	nə+pʰuŋ	n ə + pʰ u ŋ		755 754	755 754	n ə ◦ pʰ u ŋ
2773	Khoitam	nose	nose	nu-pʰuŋ ~ nə-pʰuŋ	nu+pʰuŋ	n u + pʰ u ŋ		755 754	755 754	n u ◦ pʰ u ŋ
2774	Rahung	nose	nose	ma-pʰuŋ	ma+pʰuŋ	m a + pʰ u ŋ		264 754	758 754	m a ◦ pʰ u ŋ
2775	Rupa	nose	nose	lə-pʰuŋ ~ nə-pʰuŋ	lə+pʰuŋ	l ə + pʰ u ŋ		257 754	757 754	l ə ◦ pʰ u ŋ
2776	Shergaon	nose	nose	nə-pʰuŋ	nə+pʰuŋ	n ə + pʰ u ŋ		755 754	755 754	n ə ◦ pʰ u ŋ
2781	Khoitam	oil	oil	tʰoː	tʰoː	tʰ oː		759	759	tʰ oː
2782	Rahung	oil	oil	tʰoː	tʰoː	tʰ oː		759	759	tʰ oː
2783	Rupa	oil	oil	tʰoː	tʰoː	tʰ oː		759	759	tʰ oː
2784	Shergaon	oil	oil	tʰoː	tʰoː	tʰ oː		759	759	tʰ oː
2785	Khispi	okay	okay	aj ~ e	aj	a j		760	761	a j
2786	Duhumbi	okay	okay	aj	aj	a j		760	761	a j
2788	Jerigaon	okay	okay	ɐː	ɐː	ɐː		760	760	ɐː
2789	Khoitam	okay	okay	ɔː	ɔː	ɔː		760	760	ɔː
2790	Rahung	okay	okay	ɔː	ɔː	ɔː		760	760	ɔː
2793	Khispi	old	old	ɔ-mɛn	ɔ+mɛn	ɔ + m ɛ n		763 762	763 762	ɔ ◦ m ɛ n
2794	Duhumbi	old	old	ɔ-mɛn	ɔ+mɛn	ɔ + m ɛ n		763 762	763 762	ɔ ◦ m ɛ n
2795	Khoina	old	old	a-mɛn	a+mɛn	a + m ɛ n		763 762	763 762	a ◦ m ɛ n
2796	Jerigaon	old	old	a-mɛn	a+mɛn	a + m ɛ n		763 762	763 762	a ◦ m ɛ n
2797	Khoitam	old	old	a-man	a+man	a + m a n		763 762	763 762	a ◦ m a n
2798	Rahung	old	old	a-mɛn ~ ɛ-mɛn	a+mɛn	a + m ɛ n		763 762	763 762	a ◦ m ɛ n
2799	Rupa	old	old	a-man	a+man	a + m a n		763 762	763 762	a ◦ m a n
2800	Shergaon	old	old	a-man	a+man	a + m a n		763 762	763 762	a ◦ m a n
2801	Khispi	one	one	hin	hin	h i n		764	764	h i n
2802	Duhumbi	one	one	hin	hin	h i n		764	764	h i n
2803	Khoina	one	one	hɛn	hɛn	h ɛ n		764	764	h ɛ n
2804	Jerigaon	one	one	hɛn	hɛn	h ɛ n		764	764	h ɛ n
2805	Khoitam	one	one	han	han	h a n		764	764	h a n
2806	Rahung	one	one	hɛn	hɛn	h ɛ n		764	764	h ɛ n
2807	Rupa	one	one	han	han	h a n		764	764	h a n
2808	Shergaon	one	one	han	han	h a n		764	764	h a n
2809	Khispi	other	other	bi	bi	b i		765	766	b i
2810	Duhumbi	other	other	bi	bi	b i		765	766	b i
2811	Khoina	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i
2812	Jerigaon	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i
2813	Khoitam	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i
2814	Rahung	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i
2815	Rupa	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i
2816	Shergaon	other	other	ʥi	ʥi	dʑ i		765	765	dʑ i
2819	Khoina	other	other	a-ga	a+ga	a + g a		767 293	767 765	a ◦ g a
2820	Jerigaon	other	other	a-ʥiː ~ a-ga	a+ʥiː	a + dʑ iː		767 765	767 765	a ◦ dʑ iː
2821	Khoitam	other	other	a-byː ~ a-biː	a+byː	a + b yː		767 766	767 766	a ◦ b yː
2822	Rahung	other	other	a-byː	a+byː	a + b yː		767 766	767 766	a ◦ b yː
2823	Rupa	other	other	ə-bɛː	ə+bɛː	ə + b ɛː		767 766	767 766	ə ◦ b ɛː
2827	Khoina	otter	otter	nə-mɐk	nə+mɐk	n ə + m ɐ k		768 769	768 769	n ə ◦ m ɐ k
2828	Jerigaon	otter	otter	ny-mɐk ~ nə-mak	ny+mɐk	n y + m ɐ k		768 769	768 769	n y ◦ m ɐ k
2829	Khoitam	otter	otter	ny-mak	ny+mak	n y + m a k		768 769	768 769	n y ◦ m a k
2830	Rahung	otter	otter	ny-mak ~ ni-mak	ny+mak	n y + m a k		768 769	768 769	n y ◦ m a k
2831	Rupa	otter	otter	ɲə-mak ~ ɲy-mak	ɲə+mak	ɲ ə + m a k		768 769	768 769	ɲ ə ◦ m a k
2832	Shergaon	otter	otter	ɲu-mak	ɲu+mak	ɲ u + m a k		768 769	768 769	ɲ u ◦ m a k
2835	Khoina	outside	outside	a-fũː-rɔ	a+fũː+rɔ	a + f ũː + r ɔ		770 771 772	770 773 772	a ◦ f ũː ◦ r ɔ
2836	Jerigaon	outside	outside	a-hɔ̃ː(ŋ)	a+hɔ̃ː	a + h ɔ̃ː		770 771	770 771	a ◦ h ɔ̃ː
2837	Khoitam	outside	outside	a-hũː(ŋ)	a+hũː	a + h ũː		770 771	770 771	a ◦ h ũː
2838	Rahung	outside	outside	u-hũː(ŋ)	u+hũː	u + h ũː		770 771	770 771	u ◦ h ũː
2839	Rupa	outside	outside	a-hũː(ŋ)-gɔ	a+hũː+gɔ	a + h ũː + g ɔ		770 771 294	770 771 772	a ◦ h ũː ◦ g ɔ
2840	Shergaon	outside	outside	ɔ-hɔ̃ː	ɔ+hɔ̃ː	ɔ + h ɔ̃ː		770 771	770 771	ɔ ◦ h ɔ̃ː
2841	Khispi	palm, sole	palm, sole1	pʰa-la	pʰa+la	pʰ a + l a		775 777	775 777	pʰ a - ◦ l a
2842	Duhumbi	palm, sole	palm, sole1	pʰa-ɹa	pʰa+ɹa	pʰ a + ɹ a		775 777	775 777	pʰ a - ◦ ɹ a
2845	Khoitam	palm, sole	palm, sole1	ik-paɹ	ik+paɹ	i k + p a ɹ		774 775	774 775	i k ◦ p a ɹ
2846	Rahung	palm, sole	palm, sole1	ik-paɹ	ik+paɹ	i k + p a ɹ		774 775	774 775	i k ◦ p a ɹ
2847	Rupa	palm, sole	palm, sole1	la ʦa-paɹ	la_ʦa+paɹ	l a _ ts a + p a ɹ		777 295 775	777 776 775	l a ◦ ts a ◦ p a ɹ
2848	Shergaon	palm, sole	palm, sole1	ik-paɹ	ik+paɹ	i k + p a ɹ		774 775	774 775	i k ◦ p a ɹ
2851	Khoina	palm, sole	palm, sole2	ik-tʰɔ̃ː	ik+tʰɔ̃ː	i k + tʰ ɔ̃ː		774 776	774 776	i k ◦ tʰ ɔ̃ː
2852	Jerigaon	palm, sole	palm, sole2	ik-tʰɔ̃ː(ŋ)	ik+tʰɔ̃ː	i k + tʰ ɔ̃ː		774 776	774 776	i k ◦ tʰ ɔ̃ː
2855	Rupa	palm, sole	palm, sole2	ik-tʰũː(ŋ)	ik+tʰũː	i k + tʰ ũː		774 776	774 776	i k ◦ tʰ ũː
2859	Khoina	pangolin	pangolin	ry-wøː	ry+wøː	r y + w øː		780 778	780 778	r y ◦ w øː
2861	Khoitam	pangolin	pangolin	sy-wɛːʰ	sy+wɛːʰ	s y + w ɛːʰ		779 778	779 778	s y ◦ w ɛːʰ
2862	Rahung	pangolin	pangolin	su-wɛːʰ	su+wɛːʰ	s u + w ɛːʰ		779 778	779 778	s u ◦ w ɛːʰ
2866	Duhumbi	partridge	partridge	kam-kɔw	kam+kɔw	k a m + k ɔ w		782 781	782 781	k a m ◦ k ɔ w
2868	Jerigaon	partridge	partridge	hu-kʰøː	hu+kʰøː	h u + kʰ øː		786 781	786 781	h u ◦ kʰ øː -
2869	Khoitam	partridge	partridge	f-kʰøː	f+kʰøː	f + kʰ øː		786 781	785 781	f ◦ kʰ øː -
2870	Rahung	partridge	partridge	mɔ-kʰøː	mɔ+kʰøː	m ɔ + kʰ øː		784 781	784 781	m ɔ ◦ kʰ øː -
2872	Shergaon	partridge	partridge	kʰɔj-kʰɔj-ma	kʰɔj+kʰɔj+ma	kʰ ɔ j + kʰ ɔ j + m a		299 781 783	782 781 783	kʰ ɔ j ◦ kʰ ɔ j ◦ m a
2873	Khispi	path, road	path, road	hu-ma	hu+ma	h u + m a		788 787	788 787	h u - ◦ m a
2874	Duhumbi	path, road	path, road	hu-ma	hu+ma	h u + m a		788 787	788 787	h u - ◦ m a
2875	Khoina	path, road	path, road	ham	ham	h a m		788	788	h a m
2876	Jerigaon	path, road	path, road	ha-mu ~ lə-mu	ha+mu	h a + m u		788 787	788 787	h a - ◦ m u
2877	Khoitam	path, road	path, road	lym	lym	l y m		788	789	l y m
2878	Rahung	path, road	path, road	lum ~ lym	lum	l u m		788	789	l u m
2879	Rupa	path, road	path, road	nə-mu ~ lə-mu	nə+mu	n ə + m u		788 787	790 787	n ə ◦ m u
2880	Shergaon	path, road	path, road	lə-mu	lə+mu	l ə + m u		788 787	789 787	l ə - ◦ m u
2881	Khispi	patient marker	patient marker	-ɲi	+ɲi	ɲ i		791	791	ɲ i
2882	Duhumbi	patient marker	patient marker	-ɲi	+ɲi	ɲ i		791	791	ɲ i
2883	Khoina	patient marker	patient marker	-ɲiː	+ɲiː	ɲ iː		791	791	ɲ iː
2885	Khoitam	patient marker	patient marker	-niː	+niː	n iː		791	791	n iː
2886	Rahung	patient marker	patient marker	-niː	+niː	n iː		791	791	n iː
2887	Rupa	patient marker	patient marker	-jiː ~ -iː	+jiː	j iː		791	792	j iː
2889	Khispi	peas	peas	(ʥam) pʰo-bin	pʰo+bin	pʰ o + b i n		793 301	793 794	pʰ o - ◦ - b i n
2890	Duhumbi	peas	peas	(ʥam) pʰop-liŋ	pʰop+liŋ	pʰ o p + l i ŋ		793 301	793 794	pʰ o p ◦ - l i ŋ
2891	Khoina	peas	peas	(pʰuk) pʰɔŋ-ba	pʰɔŋ+ba	pʰ ɔ ŋ + b a		793 794	793 794	pʰ ɔ ŋ ◦ b - a -
2892	Jerigaon	peas	peas	(pʰuk) pʰɔŋ-ba	pʰɔŋ+ba	pʰ ɔ ŋ + b a		793 794	793 794	pʰ ɔ ŋ ◦ b - a -
2893	Khoitam	peas	peas	(pʰuk) pʰɔm-bɛ	pʰɔm+bɛ	pʰ ɔ m + b ɛ		793 794	793 794	pʰ ɔ m ◦ b - ɛ -
2894	Rahung	peas	peas	(pʰuk) pʰam-bɛ	pʰam+bɛ	pʰ a m + b ɛ		793 794	793 794	pʰ a m ◦ b - ɛ -
2895	Rupa	peas	peas	(pʰuk) pʰam-pʰla	pʰam+pʰla	pʰ a m + pʰ l a		793 794	793 794	pʰ a m ◦ pʰ l a -
2896	Shergaon	peas	peas	(suk) pʰam-pʰla	pʰam+pʰla	pʰ a m + pʰ l a		793 794	793 794	pʰ a m ◦ pʰ l a -
2897	Khispi	penis	penis	lak	lak	l a k		795	795	l a k
2898	Duhumbi	penis	penis	lak	lak	l a k		795	795	l a k
2899	Khoina	penis	penis	lɐk	lɐk	l ɐ k		795	795	l ɐ k
2900	Jerigaon	penis	penis	lɐk	lɐk	l ɐ k		795	795	l ɐ k
2901	Khoitam	penis	penis	lak	lak	l a k		795	795	l a k
2902	Rahung	penis	penis	lak	lak	l a k		795	795	l a k
2903	Rupa	penis	penis	lak	lak	l a k		795	795	l a k
2904	Shergaon	penis	penis	lak	lak	l a k		795	795	l a k
2907	Khoina	pheasant, kalij	pheasant, kalij	fə-tʂʰajk	fə+tʂʰajk	f ə + ʈʂʰ a j k		797 796	797 796	f ə ◦ ʈʂʰ a j k
2908	Jerigaon	pheasant, kalij	pheasant, kalij	hu-ʨʰɛk	hu+ʨʰɛk	h u + tɕʰ ɛ k		797 796	798 796	h u ◦ tɕʰ ɛ - k
2909	Khoitam	pheasant, kalij	pheasant, kalij	f-ʨʰɛk	f+ʨʰɛk	f + tɕʰ ɛ k		797 796	797 796	f - ◦ tɕʰ ɛ - k
2910	Rahung	pheasant, kalij	pheasant, kalij	pʰə-ʨʰɛk	pʰə+ʨʰɛk	pʰ ə + tɕʰ ɛ k		797 796	797 796	pʰ ə ◦ tɕʰ ɛ - k
2911	Rupa	pheasant, kalij	pheasant, kalij	bə-kʰɛk	bə+kʰɛk	b ə + kʰ ɛ k		797 796	797 796	b ə ◦ kʰ ɛ - k
2912	Shergaon	pheasant, kalij	pheasant, kalij	bə-kʰɛk	bə+kʰɛk	b ə + kʰ ɛ k		797 796	797 796	b ə ◦ kʰ ɛ - k
2914	Duhumbi	pheasant, tragopan	pheasant, tragopan	bap	bap	b a p		801	801	b a p
2916	Jerigaon	pheasant, tragopan	pheasant, tragopan	hu-ba	hu+ba	h u + b a		800 801	800 799	h u ◦ b a
2917	Khoitam	pheasant, tragopan	pheasant, tragopan	hu-bɔ	hu+bɔ	h u + b ɔ		800 801	800 799	h u ◦ b ɔ
2919	Rupa	pheasant, tragopan	pheasant, tragopan	hu-bɔ	hu+bɔ	h u + b ɔ		800 801	800 799	h u ◦ b ɔ
2920	Shergaon	pheasant, tragopan	pheasant, tragopan	bap	bap	b a p		801	801	b a p
2921	Khispi	pig	pig	ɕa-bak	ɕa+bak	ɕ a + b a k		803 802	803 802	ɕ a ◦ b a k
2922	Duhumbi	pig	pig	ɕa-bak	ɕa+bak	ɕ a + b a k		803 802	803 802	ɕ a ◦ b a k
2923	Khoina	pig	pig	ʂu-wɐk	ʂu+wɐk	ʂ u + w ɐ k		803 802	803 802	ʂ u ◦ w ɐ k
2924	Jerigaon	pig	pig	s-wɐk ~ sə-wɐk	s+wɐk	s + w ɐ k		803 802	803 802	s - ◦ w ɐ k
2925	Khoitam	pig	pig	su-wak	su+wak	s u + w a k		803 802	803 802	s u ◦ w a k
2926	Rahung	pig	pig	su-wak	su+wak	s u + w a k		803 802	803 802	s u ◦ w a k
2927	Rupa	pig	pig	su-wak	su+wak	s u + w a k		803 802	803 802	s u ◦ w a k
2928	Shergaon	pig	pig	su-wak	su+wak	s u + w a k		803 802	803 802	s u ◦ w a k
2929	Khispi	pillow	pillow	kʰum-u	kʰum+u	kʰ u m + u		804 309	806 804	kʰ u m ◦ - u -
2930	Duhumbi	pillow	pillow	kʰu-kʰum	kʰu+kʰum	kʰ u + kʰ u m		806 804	806 804	kʰ u - ◦ kʰ u m
2931	Khoina	pillow	pillow	ʂaŋ-kʰɔn ~ ʂaŋ-kʰøn	ʂaŋ+kʰɔn	ʂ a ŋ + kʰ ɔ n		805 804	805 804	ʂ a ŋ ◦ kʰ ɔ n
2932	Jerigaon	pillow	pillow	sa-kʰøn	sa+kʰøn	s a + kʰ ø n		805 804	805 804	s a - ◦ kʰ ø n
2933	Khoitam	pillow	pillow	saŋ-kʰɔm	saŋ+kʰɔm	s a ŋ + kʰ ɔ m		805 804	805 804	s a ŋ ◦ kʰ ɔ m
2934	Rahung	pillow	pillow	saŋ-kʰɔm ~ saŋ-kʰøm	saŋ+kʰɔm	s a ŋ + kʰ ɔ m		805 804	805 804	s a ŋ ◦ kʰ ɔ m
2935	Rupa	pillow	pillow	s-kɔm	s+kɔm	s + k ɔ m		805 804	805 804	s - - ◦ k ɔ m
2936	Shergaon	pillow	pillow	s-kɔm	s+kɔm	s + k ɔ m		805 804	805 804	s - - ◦ k ɔ m
2937	Khispi	pinch	pinch	ʦik	ʦik	ts i k		807	807	ts i k
2938	Duhumbi	pinch	pinch	ʦik	ʦik	ts i k		807	807	ts i k
2939	Khoina	pinch	pinch	ʦik	ʦik	ts i k		807	807	ts i k
2941	Khoitam	pinch	pinch	ʨik	ʨik	tɕ i k		807	807	tɕ i k
2942	Rahung	pinch	pinch	ʨik	ʨik	tɕ i k		807	807	tɕ i k
2943	Rupa	pinch	pinch	ʦik	ʦik	ts i k		807	807	ts i k
2945	Khispi	pine kindle	pine kindle	bi-ʦi	bi+ʦi	b i + ts i		808 809	808 809	b i - ◦ ts i
2946	Duhumbi	pine kindle	pine kindle	bɛj-ʦi	bɛj+ʦi	b ɛ j + ts i		808 809	808 809	b ɛ j ◦ ts i
2947	Khoina	pine kindle	pine kindle	ba-ʦi	ba+ʦi	b a + ts i		808 809	808 809	b a - ◦ ts i
2948	Jerigaon	pine kindle	pine kindle	ba-ʨi	ba+ʨi	b a + tɕ i		808 809	808 809	b a - ◦ tɕ i
2949	Khoitam	pine kindle	pine kindle	ba-ʨi	ba+ʨi	b a + tɕ i		808 809	808 809	b a - ◦ tɕ i
2950	Rahung	pine kindle	pine kindle	ba-ʨi	ba+ʨi	b a + tɕ i		808 809	808 809	b a - ◦ tɕ i
2951	Rupa	pine kindle	pine kindle	baː bə-ʦi	baː_bə+ʦi	b aː _ b ə + ts i		317 808 809	808 811 810	b aː - ◦ b ə ◦ ts i
2952	Shergaon	pine kindle	pine kindle	bap-ʨi	bap+ʨi	b a p + tɕ i		808 809	808 809	b a p ◦ tɕ i
2953	Khispi	plait	plait	pʰa	pʰa	pʰ a		812	812	pʰ - a
2954	Duhumbi	plait	plait	pʰa	pʰa	pʰ a		812	812	pʰ - a
2955	Khoina	plait	plait	pʰla (kam-ziŋ)	pʰla	pʰ l a		812	812	pʰ l a
2956	Jerigaon	plait	plait	pʰɛˀ	pʰɛˀ	pʰ ɛˀ		812	812	pʰ - ɛˀ
2957	Khoitam	plait	plait	pʰuː	pʰuː	pʰ uː		812	812	pʰ - uː
2959	Rupa	plait	plait	pʰuː ~ pʰlaː	pʰuː	pʰ uː		812	812	pʰ - uː
2961	Khispi	plant  (vt)	plant  (vt)	haj	haj	h a j		814	814	h a j
2962	Duhumbi	plant  (vt)	plant  (vt)	haj	haj	h a j		814	814	h a j
2963	Khoina	plant  (vt)	plant  (vt)	hɐː	hɐː	h ɐː		814	814	h ɐː -
2965	Khoitam	plant  (vt)	plant  (vt)	lɔː	lɔː	l ɔː		814	813	l ɔː
2966	Rahung	plant  (vt)	plant  (vt)	lɔː	lɔː	l ɔː		814	813	l ɔː
2967	Rupa	plant  (vt)	plant  (vt)	lɔ	lɔ	l ɔ		814	813	l ɔ
2969	Khispi	play	play	lej	lej	l e j		815	815	l e j
2970	Duhumbi	play	play	lɛj	lɛj	l ɛ j		815	815	l ɛ j
2971	Khoina	play	play	lɐː	lɐː	l ɐː		815	815	l ɐː -
2972	Jerigaon	play	play	mɛŋ ~ jɛŋ	mɛŋ	m ɛ ŋ		816	816	m ɛ ŋ
2973	Khoitam	play	play	jɛŋ	jɛŋ	j ɛ ŋ		816	816	j ɛ ŋ
2974	Rahung	play	play	jɛŋ	jɛŋ	j ɛ ŋ		816	816	j ɛ ŋ
2975	Rupa	play	play	loː	loː	l oː		815	815	l oː -
2976	Shergaon	play	play	loː	loː	l oː		815	815	l oː -
2977	Khispi	plough (v)	plough (v)	wuj	wuj	w u j		817	817	w u j
2978	Duhumbi	plough (v)	plough (v)	wɔj	wɔj	w ɔ j		817	817	w ɔ j
2979	Khoina	plough (v)	plough (v)	wɐː	wɐː	w ɐː		817	817	w ɐː -
2981	Khoitam	plough (v)	plough (v)	wɔː	wɔː	w ɔː		817	817	w ɔː -
2982	Rahung	plough (v)	plough (v)	wɔː	wɔː	w ɔː		817	817	w ɔː -
2983	Rupa	plough (v)	plough (v)	woː	woː	w oː		817	817	w oː -
2985	Khispi	plural	plural	-tʰe	+tʰe	tʰ e		818	818	tʰ e -
2986	Duhumbi	plural	plural	-tʰeˀ	+tʰeˀ	tʰ eˀ		818	818	tʰ eˀ -
2987	Khoina	plural	plural	-tʰik	+tʰik	tʰ i k		818	818	tʰ i k
2988	Jerigaon	plural	plural	-tʰik	+tʰik	tʰ i k		818	818	tʰ i k
2989	Khoitam	plural	plural	-tʰɛk	+tʰɛk	tʰ ɛ k		818	818	tʰ ɛ k
2990	Rahung	plural	plural	-tʰɛk	+tʰɛk	tʰ ɛ k		818	818	tʰ ɛ k
2991	Rupa	plural	plural	-tʰiː	+tʰiː	tʰ iː		818	818	tʰ iː -
2993	Khispi	poison	poison	duk	duk	d u k		819	819	d u k
2994	Duhumbi	poison	poison	duk ~ dup	duk	d u k		819	819	d u k
2995	Khoina	poison	poison	dyk	dyk	d y k		819	819	d y k
2996	Jerigaon	poison	poison	dyk	dyk	d y k		819	819	d y k
2997	Khoitam	poison	poison	dyk	dyk	d y k		819	819	d y k
2998	Rahung	poison	poison	dyk	dyk	d y k		819	819	d y k
2999	Rupa	poison	poison	dyk	dyk	d y k		819	819	d y k
